Time elapsed,74434,ns or ,0.0000744340,s
Time elapsed,178986,ns or ,0.0001789860,s
Time elapsed,95917,ns or ,0.0000959170,s
Time elapsed,73547,ns or ,0.0000735470,s
Time elapsed,83697,ns or ,0.0000836970,s
Time elapsed,82889,ns or ,0.0000828890,s
Time elapsed,83682,ns or ,0.0000836820,s
Time elapsed,101192,ns or ,0.0001011920,s
Time elapsed,67269,ns or ,0.0000672690,s
Time elapsed,83650,ns or ,0.0000836500,s
Total,,,0.0009252630,s
Mean,,,0.0000925263,s
Average Mean,,,0.0000462632,s
Average Mean in minutes,,,0.0000007711,m
