Time elapsed ,83201344,ns or,0.083201344,s
Time elapsed ,113033642,ns or,0.113033642,s
Time elapsed ,158417719,ns or,0.158417719,s
Time elapsed ,140175834,ns or,0.140175834,s
Time elapsed ,128355777,ns or,0.128355777,s
Time elapsed ,92756732,ns or,0.092756732,s
Time elapsed ,86511404,ns or,0.086511404,s
Time elapsed ,127644616,ns or,0.127644616,s
Time elapsed ,100848977,ns or,0.100848977,s
Time elapsed ,100907820,ns or,0.10090782,s
Total,,,1.131853865,s
Mean,,,0.1131853865,s
Average Mean,,,0.05659269325,s
Average Mean in minutes,,,0.000943211554167,m
